Sub-group,Yoga Pose,yes-no color value
Relieves Stress,Double Pigeon Pose,1
Relieves Stress,Happy Baby Pose,1
Relieves Stress,Downward-Facing Dog,0
Relieves Stress,Plow Pose,0
Energizes,Seated Forward Bend,2
Energizes,Big Toe Pose,2
Energizes,Standing Forward Bend,2
Energizes,Corpse Pose,2
Energizes,Supported Headstand,2
Energizes,Supported Shoulderstand,2
Energizes,Bridge Pose,0
Energizes,Dolphin Plank Pose,0
Energizes,Easy Pose,0
Energizes,Legs-Up-the-Wall Pose,0
Energizes,Head-to-Knee Forward Bend,2
Energizes,Dolphin Pose,2
Energizes,Bound Angle Pose,2
Energizes,Wide-Legged Forward Bend,2
Energizes,Child's Pose,2
Energizes,Double Pigeon Pose,2
Energizes,Happy Baby Pose,2
Energizes,Downward-Facing Dog,2
Energizes,Plow Pose,2
Alleviates Insomnia,Seated Forward Bend,3
Alleviates Insomnia,Big Toe Pose,3
Alleviates Insomnia,Standing Forward Bend,3
Alleviates Insomnia,Corpse Pose,3
Alleviates Insomnia,Supported Headstand,3
Alleviates Insomnia,Supported Shoulderstand,0
Alleviates Insomnia,Bridge Pose,3
Alleviates Insomnia,Dolphin Plank Pose,0
Alleviates Insomnia,Easy Pose,0
Alleviates Insomnia,Legs-Up-the-Wall Pose,3
Alleviates Insomnia,Head-to-Knee Forward Bend,3
Alleviates Insomnia,Dolphin Pose,3
Alleviates Insomnia,Bound Angle Pose,0
Alleviates Insomnia,Wide-Legged Forward Bend,0
Alleviates Insomnia,Child's Pose,0
Alleviates Insomnia,Double Pigeon Pose,3
Alleviates Insomnia,Happy Baby Pose,0
Alleviates Insomnia,Downward-Facing Dog,3
Alleviates Insomnia,Plow Pose,3
Soothes Headaches,Seated Forward Bend,3
Soothes Headaches,Big Toe Pose,3
Soothes Headaches,Standing Forward Bend,0
Soothes Headaches,Corpse Pose,3
Soothes Headaches,Supported Headstand,0
Soothes Headaches,Supported Shoulderstand,0
Soothes Headaches,Bridge Pose,3
Soothes Headaches,Dolphin Plank Pose,0
Soothes Headaches,Easy Pose,0
Soothes Headaches,Legs-Up-the-Wall Pose,3
Soothes Headaches,Head-to-Knee Forward Bend,3
Soothes Headaches,Dolphin Pose,3
Soothes Headaches,Bound Angle Pose,0
Soothes Headaches,Wide-Legged Forward Bend,3
Soothes Headaches,Child's Pose,0
Soothes Headaches,Double Pigeon Pose,3
Soothes Headaches,Happy Baby Pose,0
Soothes Headaches,Downward-Facing Dog,3
Soothes Headaches,Plow Pose,3
Relieves High Blood Pressure,Seated Forward Bend,3
Relieves High Blood Pressure,Big Toe Pose,0
Relieves High Blood Pressure,Standing Forward Bend,3
Relieves High Blood Pressure,Corpse Pose,3
Relieves High Blood Pressure,Supported Headstand,0
Relieves High Blood Pressure,Supported Shoulderstand,0
Relieves High Blood Pressure,Bridge Pose,3
Relieves High Blood Pressure,Dolphin Plank Pose,3
Relieves High Blood Pressure,Easy Pose,0
Relieves High Blood Pressure,Legs-Up-the-Wall Pose,3
Relieves High Blood Pressure,Head-to-Knee Forward Bend,3
Relieves High Blood Pressure,Dolphin Pose,0
Relieves High Blood Pressure,Bound Angle Pose,3
Relieves High Blood Pressure,Wide-Legged Forward Bend,0
Relieves High Blood Pressure,Child's Pose,0
Relieves High Blood Pressure,Double Pigeon Pose,0
Relieves High Blood Pressure,Happy Baby Pose,0
Relieves High Blood Pressure,Downward-Facing Dog,3
Relieves High Blood Pressure,Plow Pose,0
Improves Digestion,Seated Forward Bend,3
Improves Digestion,Big Toe Pose,3
Improves Digestion,Standing Forward Bend,3
Improves Digestion,Corpse Pose,0
Improves Digestion,Supported Headstand,3
Improves Digestion,Supported Shoulderstand,3
Improves Digestion,Bridge Pose,3
Improves Digestion,Dolphin Plank Pose,0
Improves Digestion,Easy Pose,0
Improves Digestion,Legs-Up-the-Wall Pose,3
Improves Digestion,Head-to-Knee Forward Bend,3
Improves Digestion,Dolphin Pose,3
Improves Digestion,Bound Angle Pose,0
Improves Digestion,Wide-Legged Forward Bend,0
Improves Digestion,Child's Pose,0
Improves Digestion,Double Pigeon Pose,0
Improves Digestion,Happy Baby Pose,0
Improves Digestion,Downward-Facing Dog,3
Improves Digestion,Plow Pose,0
